 PARM = EPCP;SLAT;SLON;IGPT;JGPT                                                 

    STN    YYMMDD/HHMM      EPCP     SLAT     SLON     IGPT     JGPT
   KGPZ    060113/0000      0.83    47.22   -93.52   107.99    83.98
   KGRB    060113/0000      0.01    44.48   -88.13   119.28    76.27
   KGRD    060113/0000      0.02    34.24   -82.15   134.42    48.29
   KGRF    060113/0000      6.87    47.08  -122.58    49.61    89.21
   KGRI    060113/0000      0.17    40.97   -98.32    97.85    65.88
   KGRK    060113/0000      0.01    31.07   -97.83    98.33    38.20
   KGRR    060113/0000      0.03    42.88   -85.52   125.02    71.97
   KGSB    060113/0000      0.29    35.33   -77.97   143.57    52.34
   KGSO    060113/0000      0.10    36.08   -79.95   138.87    53.89
   KGSP    060113/0000      0.04    34.90   -82.22   134.09    50.09
   KGTB    060113/0000      4.54    44.05   -75.73   145.10    77.51
   KGTF    060113/0000      1.05    47.48  -111.37    72.12    86.73
   KGTU    060113/0000      0.01    30.68   -97.68    98.66    37.12
   KGUC    060113/0000      1.04    38.55  -106.92    78.76    60.09
   KGVL    060113/0000      0.00    34.27   -83.83   130.58    48.03
   KGWO    060113/0000      0.01    33.50   -90.08   116.35    45.05
   KGXY    060113/0000      0.84    40.20  -104.63    84.13    64.34
   KGYI    060113/0000      0.01    33.70   -96.66   101.18    45.42
   KGYL    060113/0000      0.51    44.76   -94.08   106.91    76.73
   KGZH    060113/0000      0.13    31.42   -87.05   123.68    39.65
   KHBG    060113/0000      0.01    31.26   -89.25   118.53    38.94
   KHBI    060113/0000      0.10    35.66   -79.90   139.11    52.74
   KHCD    060113/0000      0.47    44.87   -94.38   106.28    77.05
   KHCO    060113/0000      3.49    48.78   -96.95   101.13    88.66
   KHDC    060113/0000      0.00    30.52   -90.42   115.85    36.80
   KHDE    060113/0000      0.10    40.45   -99.33    95.63    64.46
   KHDN    060113/0000      2.52    40.50  -107.25    78.54    65.65
   KHDO    060113/0000      0.00    29.35   -99.17    95.03    33.56
   KHEF    060113/0000      0.37    38.72   -77.52   143.36    61.89
   KHEI    060113/0000      0.00    46.01  -102.64    89.38    80.83
   KHEZ    060113/0000      0.02    31.62   -91.25   113.80    39.77
   KHFD    060113/0000      7.12    41.73   -72.65   152.55    71.89
   KHFF    060113/0000      0.09    35.03   -79.50   140.21    51.10
   KHGR    060113/0000      0.57    39.70   -77.72   142.57    64.58
   KHHR    060113/0000      0.02    33.91  -118.33    51.62    50.58
   KHIB    060113/0000      0.91    47.38   -92.85   109.33    84.48
   KHIE    060113/0000      9.37    44.37   -71.55   153.56    79.80
   KHIF    060113/0000      2.92    41.12  -111.97    68.61    68.50
   KHIO    060113/0000     10.16    45.55  -122.95    47.95    84.94
   KHJO    060113/0000      0.04    36.31  -119.62    49.90    57.67
   KHKA    060113/0000      0.01    35.94   -89.83   116.67    51.84
   KHKS    060113/0000      0.01    32.33   -90.22   116.14    41.80
   KHKY    060113/0000      0.07    35.75   -81.38   135.76    52.63
   KHLC    060113/0000      0.07    39.38   -99.83    94.44    61.46
   KHLG    060113/0000      0.20    40.18   -80.65   136.08    65.19
   KHLN    060113/0000      1.55    46.60  -112.00    70.53    84.29
   KHLR    060113/0000      0.01    31.15   -97.71    98.62    38.42
   KHLX    060113/0000      0.06    36.77   -80.82   136.72    55.60
   KHMS    060113/0000      1.73    46.56  -119.60    55.25    86.54
   KHNR    060113/0000      0.64    41.59   -95.34   104.27    67.56
   KHON    060113/0000      0.08    44.38   -98.22    98.30    75.69
   KHOT    060113/0000      0.10    34.48   -93.10   109.35    47.59
   KHPN    060113/0000      5.15    41.07   -73.71   150.61    69.67
   KHQM    060113/0000      9.65    46.97  -123.97    46.79    89.47
   KHRI    060113/0000      1.48    45.82  -119.26    55.54    84.27
   KHRJ    060113/0000      0.15    35.38   -78.74   141.81    52.27
   KHRO    060113/0000      0.03    36.27   -93.15   109.17    52.57
   KHRT    060113/0000      0.20    30.52   -86.30   125.59    37.28
   KHSE    060113/0000      1.88    35.23   -75.62   148.89    52.78
   KHSI    060113/0000      0.15    40.60   -98.43    97.59    64.83
   KHSP    060113/0000      0.05    37.95   -79.82   138.58    59.13
   KHST    060113/0000      0.17    25.48   -80.38   141.05    24.75
   KHTL    060113/0000      0.19    44.37   -84.68   126.46    76.40
   KHTS    060113/0000      0.00    38.37   -82.55   132.45    59.69
   KHUT    060113/0000      0.03    38.07   -97.87    98.65    57.65
   KHVN    060113/0000      6.38    41.26   -72.88   152.29    70.49
   KHVR    060113/0000      0.26    48.55  -109.77    75.67    89.54
   KHWD    060113/0000      0.23    37.65  -122.12    45.12    62.41
   KHWO    060113/0000      0.21    26.00   -80.24   141.24    26.20
   KHWV    060113/0000      5.81    40.82   -72.86   152.53    69.25
   KHYI    060113/0000      0.01    29.90   -97.87    98.17    34.99
   KHYR    060113/0000      0.15    46.02   -91.45   112.26    80.51
   KHYS    060113/0000      0.05    38.85   -99.27    95.62    59.93
   KHYX    060113/0000      0.12    43.43   -83.86   128.38    73.82
   KHZY    060113/0000      0.31    41.78   -80.70   135.49    69.72
   KIAB    060113/0000      0.02    37.62   -97.27    99.95    56.36
   KIAD    060113/0000      0.43    38.95   -77.45   143.43    62.55
   KIAG    060113/0000      1.13    43.10   -78.95   138.76    73.90
   KIAH    060113/0000      0.00    29.97   -95.35   104.17    35.11
   KICL    060113/0000      0.42    40.72   -95.03   104.94    65.08
   KICT    060113/0000      0.02    37.65   -97.42    99.62    56.45
   KIDA    060113/0000      1.58    43.52  -112.07    69.26    75.37
   KIDI    060113/0000      0.58    40.63   -79.10   139.27    66.84
   KIEN    060113/0000      0.15    43.03  -102.52    89.14    72.14
   KIGX    060113/0000      0.12    35.93   -79.06   140.91    53.70
   KIIY    060113/0000      0.01    33.78   -82.82   133.00    46.87
   KIJD    060113/0000      7.64    41.75   -72.18   153.54    72.12
   KIKV    060113/0000      0.39    41.69   -93.56   108.08    67.87
   KILE    060113/0000      0.01    31.08   -97.68    98.68    38.22
   KILG    060113/0000      1.67    39.67   -75.60   147.16    65.12
   KILL    060113/0000      0.36    45.12   -95.08   104.84    77.78
   KILM    060113/0000      0.32    34.27   -77.92   144.05    49.44
   KILN    060113/0000      0.00    39.42   -83.77   129.52    62.41
   KIML    060113/0000      0.17    40.51  -101.61    90.71    64.83
   KIMT    060113/0000      0.03    45.82   -88.12   119.10    80.19
   KINL    060113/0000      2.58    48.57   -93.38   108.22    88.02
   KINT    060113/0000      0.09    36.13   -80.23   138.23    53.96
   KIOW    060113/0000      0.06    41.63   -91.55   112.38    67.77
   KIPJ    060113/0000      0.08    35.48   -81.16   136.33    51.94
   KIPT    060113/0000      1.75    41.25   -76.92   143.71    69.18
   KIRK    060113/0000      0.04    40.10   -92.54   110.34    63.37
   KISM    060113/0000      0.28    28.29   -81.44   137.68    32.14
   KISN    060113/0000      0.46    48.18  -103.63    87.77    87.38
   KISO    060113/0000      0.41    35.32   -77.63   144.33    52.41
   KISP    060113/0000      5.55    40.80   -73.10   152.03    69.11
   KISQ    060113/0000      0.08    45.97   -86.17   123.06    80.86
   KISW    060113/0000      0.05    44.37   -89.83   115.76    75.79
   KITH    060113/0000      3.13    42.48   -76.47   144.19    72.80
   KITR    060113/0000      0.08    39.25  -102.28    89.07    61.34
   KIWD    060113/0000      0.15    46.53   -90.13   114.91    82.10
   KIXD    060113/0000      0.08    38.83   -94.90   105.22    59.72
   KJAC    060113/0000      2.19    43.60  -110.73    72.08    75.26
   KJAN    060113/0000      0.01    32.32   -90.08   116.47    41.79
   KJAX    060113/0000      0.09    30.50   -81.70   136.46    38.11
   KJBR    060113/0000      0.02    35.83   -90.65   114.83    51.47
   KJDN    060113/0000      0.06    47.33  -106.83    81.17    85.34
   KJER    060113/0000      0.94    42.72  -114.45    63.98    73.76
   KJFK    060113/0000      4.56    40.65   -73.78   150.65    68.46
   KJHW    060113/0000      0.86    42.15   -79.25   138.45    71.11
   KJKJ    060113/0000      0.52    46.84   -96.66   101.64    82.86
   KJMR    060113/0000      0.24    45.88   -93.27   108.55    80.03
   KJMS    060113/0000      0.37    46.92   -98.68    97.55    83.18
   KJNX    060113/0000      0.20    35.54   -78.38   142.57    52.81
   KJST    060113/0000      0.55    40.32   -78.83   139.96    66.03
   KJSV    060113/0000      0.03    35.44   -94.80   105.45    50.22
   KJXN    060113/0000      0.02    42.27   -84.47   127.36    70.38
   KJYG    060113/0000      0.76    43.98   -94.55   105.94    74.45
   KJYM    060113/0000      0.01    41.92   -84.59   127.19    69.36
   KJYO    060113/0000      0.42    39.08   -77.57   143.12    62.88
   KJYR    060113/0000      0.27    40.90   -97.62    99.36    65.65
   KKLS    060113/0000      7.39    47.12  -122.88    49.04    89.45
   KLAA    060113/0000      0.01    38.07  -102.68    88.01    58.06
   KLAL    060113/0000      0.25    28.00   -82.05   136.29    31.20
   KLAN    060113/0000      0.04    42.78   -84.60   126.98    71.82
   KLAR    060113/0000      1.75    41.32  -105.68    82.11    67.69
   KLAX    060113/0000      0.02    33.93  -118.40    51.47    50.66
   KLBE    060113/0000      0.42    40.28   -79.40   138.75    65.77
   KLBF    060113/0000      0.15    41.13  -100.68    92.79    66.50
   KLBT    060113/0000      0.11    34.60   -79.07   141.32    50.03
   KLCH    060113/0000      0.00    30.11   -93.22   109.23    35.52
   KLCI    060113/0000      9.49    43.56   -71.43   154.21    77.52
   KLCK    060113/0000      0.03    39.81   -82.93   131.25    63.66
   KLDM    060113/0000      0.05    43.96   -86.40   122.96    74.96
   KLEB    060113/0000      8.44    43.63   -72.32   152.34    77.41
   KLEE    060113/0000      0.23    28.82   -81.81   136.65    33.49
   KLFI    060113/0000      0.79    37.08   -76.35   146.54    57.67
   KLFK    060113/0000      0.01    31.23   -94.75   105.59    38.58
   KLFT    060113/0000      0.01    30.20   -92.00   112.13    35.82
   KLGA    060113/0000      4.56    40.77   -73.90   150.34    68.76
   KLGB    060113/0000      0.02    33.82  -118.15    51.98    50.26
   KLGC    060113/0000      0.06    33.01   -85.06   128.02    44.33
   KLGD    060113/0000      1.05    45.47  -118.00    57.91    82.80
   KLGU    060113/0000      2.91    41.78  -111.85    69.10    70.34
   KLHQ    060113/0000      0.03    39.75   -82.67   131.83    63.55
   KLHW    060113/0000      0.02    31.88   -81.56   136.41    41.92
   KLHX    060113/0000      0.05    38.05  -103.52    86.15    58.12
   KLIC    060113/0000      0.21    39.18  -103.70    85.95    61.32
   KLIT    060113/0000      0.08    34.73   -92.23   111.32    48.31
   KLJF    060113/0000      0.40    45.10   -94.50   106.03    77.72
   KLKU    060113/0000      0.21    38.01   -77.97   142.63    59.78
   KLKV    060113/0000      3.06    42.17  -120.40    51.26    74.27
   KLLJ    060113/0000      1.33    44.52  -114.22    65.20    78.85
   KLLQ    060113/0000      0.06    33.63   -91.75   112.49    45.29
   KLMT    060113/0000      6.72    42.15  -121.73    48.48    74.76
   KLND    060113/0000      2.20    42.82  -108.73    76.02    72.56
   KLNK    060113/0000      0.41    40.85   -96.75   101.23    65.47
   KLNP    060113/0000      0.01    36.98   -82.53   132.85    55.81
   KLNR    060113/0000      0.04    43.20   -90.18   115.15    72.37
   KLNS    060113/0000      1.41    40.12   -76.30   145.47    66.17
   KLOL    060113/0000      0.89    40.07  -118.55    54.10    67.66
   KLPC    060113/0000      0.03    34.67  -120.47    47.17    53.53
   KLPR    060113/0000      0.10    41.34   -82.17   132.49    68.15
   KLRF    060113/0000      0.08    34.92   -92.15   111.50    48.85
   KLRJ    060113/0000      0.64    42.78   -96.20   102.46    70.99
   KLSE    060113/0000      0.19    43.87   -91.25   112.84    74.24
   KLSF    060113/0000      0.12    32.33   -85.00   128.30    42.47
   KLVK    060113/0000      0.25    37.70  -121.81    45.83    62.41
   KLVM    060113/0000      1.06    45.70  -110.43    73.40    81.28
   KLVN    060113/0000      0.49    44.63   -93.23   108.67    76.37
   KLWB    060113/0000      0.03    37.87   -80.40   137.32    58.76
   KLWC    060113/0000      0.11    39.00   -95.21   104.54    60.20
   KLWD    060113/0000      0.24    40.61   -93.93   107.31    64.78
   KLWM    060113/0000      9.44    42.72   -71.12   155.28    75.25
   KLWS    060113/0000      1.69    46.38  -117.02    60.33    85.12
   KLWT    060113/0000      0.28    47.05  -109.45    75.82    85.02
   KLXL    060113/0000      0.27    45.95   -94.35   106.33    80.21
   KLXN    060113/0000      0.11    40.80   -99.76    94.74    65.49
   KLXV    060113/0000      1.50    39.25  -106.30    80.29    61.94
   KLYH    060113/0000      0.07    37.33   -79.20   140.14    57.55
   KMAE    060113/0000      0.11    36.98  -120.12    49.14    59.71
   KMAI    060113/0000      0.26    30.83   -85.18   128.18    38.31
   KMBG    060113/0000      0.01    45.55  -100.41    93.88    79.26
   KMBL    060113/0000      0.07    44.27   -86.25   123.22    75.88
   KMBS    060113/0000      0.13    43.53   -84.08   127.90    74.07
   KMCB    060113/0000      0.01    31.18   -90.47   115.67    38.62
   KMCC    060113/0000      0.75    38.67  -121.40    47.25    64.91
   KMCD    060113/0000      0.25    45.87   -84.63   126.23    80.79
   KMCE    060113/0000      0.16    37.28  -120.60    48.24    60.74
   KMCF    060113/0000      0.21    27.85   -82.50   135.24    30.69
   KMCI    060113/0000      0.12    39.32   -94.72   105.61    61.11
   KMCK    060113/0000      0.13    40.22  -100.58    92.90    63.91
   KMCN    060113/0000      0.06    32.70   -83.65   131.35    43.73
   KMCO    060113/0000      0.28    28.43   -81.32   137.93    32.55
   KMCW    060113/0000      0.63    43.15   -93.33   108.52    72.07
   KMDT    060113/0000      1.17    40.20   -76.77   144.43    66.26
   KMDZ    060113/0000      0.08    45.10   -90.30   114.71    77.88
   KMEB    060113/0000      0.09    34.79   -79.36   140.61    50.47
   KMEH    060113/0000      1.07    45.50  -118.40    57.11    83.03
   KMEI    060113/0000      0.01    32.33   -88.75   119.57    41.94
   KMEM    060113/0000      0.01    35.05   -90.00   116.38    49.35
   KMFD    060113/0000      0.07    40.82   -82.52   131.88    66.60
   KMFI    060113/0000      0.08    44.63   -90.18   115.00    76.52
   KMFR    060113/0000     11.04    42.37  -122.87    46.23    75.86
   KMFV    060113/0000      1.05    37.65   -75.77   147.60    59.43
   KMGE    060113/0000      0.01    33.92   -84.52   129.07    46.93
   KMGG    060113/0000      0.36    45.24   -93.99   107.08    78.13
   KMGJ    060113/0000      4.82    41.50   -74.26   149.26    70.70
   KMGM    060113/0000      0.10    32.30   -86.40   125.05    42.16
   KMGN    060113/0000      0.21    45.43   -84.91   125.75    79.46
   KMGW    060113/0000      0.21    39.65   -79.92   137.82    63.87
   KMHE    060113/0000      0.13    43.77   -98.04    98.64    73.91
   KMHK    060113/0000      0.17    39.15   -96.67   101.34    60.65
   KMHR    060113/0000      0.65    38.55  -121.30    47.40    64.54
   KMHS    060113/0000      7.43    41.37  -122.32    46.80    72.82
   KMHT    060113/0000      9.25    42.93   -71.43   154.53    75.73
   KMIA    060113/0000      0.19    25.82   -80.28   141.19    25.70
   KMIB    060113/0000      1.26    48.42  -101.35    92.35    87.85
   KMIC    060113/0000      0.38    45.06   -93.35   108.41    77.62
   KMIV    060113/0000      1.92    39.37   -75.07   148.43    64.45
   KMIW    060113/0000      0.34    42.11   -92.92   109.43    69.09
   KMJQ    060113/0000      0.81    43.65   -94.98   105.04    73.49
   KMKC    060113/0000      0.09    39.12   -94.60   105.88    60.54
   KMKG    060113/0000      0.03    43.17   -86.23   123.46    72.70
   KMKJ    060113/0000      0.04    36.90   -81.35   135.50    55.84
   KMKO    060113/0000      0.01    35.67   -95.37   104.16    50.87
   KMKT    060113/0000      0.67    44.22   -93.92   107.25    75.16
   KMLB    060113/0000      0.28    28.10   -80.63   139.68    31.82
   KMLC    060113/0000      0.01    34.88   -95.78   103.22    48.67
   KMLD    060113/0000      2.31    42.16  -112.31    68.26    71.55
   KMLF    060113/0000      0.32    38.43  -113.02    65.36    61.23
   KMLI    060113/0000      0.00    41.45   -90.52   114.60    67.32
   KMLP    060113/0000      3.09    47.45  -115.66    63.55    87.82
   KMLS    060113/0000      0.02    46.42  -105.90    82.82    82.49
   KMLU    060113/0000      0.05    32.51   -92.03   111.92    42.18
   KMMK    060113/0000      6.71    41.50   -72.82   152.30    71.18
   KMML    060113/0000      0.47    44.45   -95.82   103.30    75.82
   KMMT    060113/0000      0.03    33.91   -80.80   137.59    47.68
   KMMU    060113/0000      3.93    40.80   -74.42   149.22    68.67
   KMMV    060113/0000     11.31    45.19  -123.13    47.37    83.98
   KMNH    060113/0000      0.56    39.22  -104.63    83.93    61.57
   KMNM    060113/0000      0.02    45.12   -87.63   120.21    78.19
   KMNN    060113/0000      0.04    40.62   -83.06   130.77    65.93
   KMOB    060113/0000      0.05    30.68   -88.25   120.96    37.46
   KMOD    060113/0000      0.23    37.63  -120.95    47.66    61.85
   KMOP    060113/0000      0.11    43.62   -84.74   126.50    74.22
   KMOT    060113/0000      1.08    48.27  -101.28    92.47    87.39
   KMOX    060113/0000      0.21    45.57   -95.97   103.01    79.10
   KMPO    060113/0000      3.02    41.13   -75.39   147.02    69.29
   KMPV    060113/0000      8.18    44.20   -72.57   151.55    78.95
   KMQE    060113/0000      9.00    42.22   -71.12   155.53    73.83
   KMQI    060113/0000      1.54    35.92   -75.70   148.44    54.66
   KMQT    060113/0000      0.08    46.53   -87.55   120.15    82.34
   KMRB    060113/0000      0.41    39.40   -77.98   142.11    63.67
   KMRF    060113/0000      0.02    30.37  -104.02    83.63    36.92
   KMRH    060113/0000      1.02    34.73   -76.65   146.76    51.08
   KMRJ    060113/0000      0.03    42.89   -90.23   115.08    71.48
   KMRN    060113/0000      0.07    35.82   -81.61   135.22    52.78
   KMRY    060113/0000      0.08    36.58  -121.85    45.12    59.35
   KMSN    060113/0000      0.01    43.13   -89.33   116.95    72.24
   KMSO    060113/0000      3.26    46.92  -114.08    66.48    85.79
   KMSP    060113/0000      0.42    44.88   -93.22   108.69    77.10
   KMSS    060113/0000      4.73    44.93   -74.85   146.54    80.31
   KMSV    060113/0000      4.27    41.70   -74.80   148.03    71.09
   KMTC    060113/0000      0.07    42.60   -82.83   130.75    71.62
   KMTJ    060113/0000      0.88    38.50  -107.88    76.64    60.14
   KMTN    060113/0000      0.95    39.33   -76.42   145.52    63.92
   KMTP    060113/0000      6.96    41.07   -71.92   154.41    70.29
   KMTV    060113/0000      0.08    36.63   -80.02   138.54    55.40
   KMTW    060113/0000      0.02    44.13   -87.67   120.29    75.30
   KMUI    060113/0000      1.43    40.43   -76.56   144.80    66.97
   KMUO    060113/0000      0.72    43.05  -115.87    61.15    75.14
   KMUT    060113/0000      0.02    41.37   -91.15   113.26    67.05
   KMVE    060113/0000      0.34    44.97   -95.72   103.51    77.34
   KMVL    060113/0000      8.04    44.53   -72.62   151.29    79.88
   KMWH    060113/0000      1.56    47.20  -119.32    56.14    88.30
   KMWK    060113/0000      0.07    36.46   -80.55   137.41    54.80
   KMWM    060113/0000      0.74    43.92   -95.09   104.81    74.28
   KMWN    060113/0000      9.67    44.26   -71.30   154.13    79.57
   KMWT    060113/0000      0.09    34.54   -93.57   108.27    47.74
   KMXF    060113/0000      0.09    32.38   -86.37   125.10    42.38
   KMXO    060113/0000      0.07    42.23   -91.17   113.15    69.51
   KMYF    060113/0000      0.03    32.82  -117.15    53.80    47.15
   KMYL    060113/0000      1.48    44.88  -116.10    61.50    80.47
   KMYR    060113/0000      0.09    33.68   -78.93   141.94    47.53
   KMYV    060113/0000      1.26    39.10  -121.57    47.12    66.18
   KMZH    060113/0000      0.29    46.41   -92.80   109.48    81.60
   KN60    060113/0000      0.44    47.65  -101.38    92.18    85.55
   KNAK    060113/0000      0.81    38.99   -76.48   145.52    62.95
   KNBC    060113/0000      0.00    32.48   -80.72   138.19    43.77
   KNCA    060113/0000      0.52    34.70   -77.43   145.01    50.76
   KNEL    060113/0000      3.21    40.03   -74.31   149.79    66.54
   KNFG    060113/0000      0.02    33.30  -117.35    53.56    48.54
   KNFL    060113/0000      0.66    39.42  -118.70    53.46    65.91
   KNFW    060113/0000      0.00    32.77   -97.43    99.36    42.87
   KNGU    060113/0000      0.85    36.93   -76.28   146.75    57.27
   KNHK    060113/0000      0.73    38.28   -76.40   145.97    60.99
   KNIP    060113/0000      0.11    30.23   -81.68   136.58    37.38
   KNKT    060113/0000      0.84    34.85   -76.88   146.20    51.34
   KNKX    060113/0000      0.02    32.87  -117.15    53.82    47.29
   KNLC    060113/0000      0.05    36.33  -119.95    49.18    57.86
   KNMM    060113/0000      0.01    32.55   -88.57   119.96    42.57
   KNPA    060113/0000      0.11    30.35   -87.32   123.21    36.67
   KNQA    060113/0000      0.01    35.35   -89.87   116.64    50.19
   KNRB    060113/0000      0.09    30.40   -81.42   137.15    37.90
   KNRS    060113/0000      0.03    32.56  -117.11    53.78    46.43
   KNSE    060113/0000      0.14    30.72   -87.02   123.86    37.73
   KNTD    060113/0000      0.02    34.12  -119.12    49.93    51.47
   KNTU    060113/0000      1.01    36.82   -76.03   147.35    57.04
   KNUQ    060113/0000      0.17    37.42  -122.05    45.15    61.75
   KNUW    060113/0000      6.89    48.35  -122.65    50.24    92.95
   KNXX    060113/0000      2.49    40.18   -75.13   147.96    66.70
   KNYC    060113/0000      4.50    40.78   -73.96   150.21    68.77
   KNYG    060113/0000      0.40    38.50   -77.30   143.92    61.34
   KNZY    060113/0000      0.03    32.70  -117.20    53.63    46.84
   KOAJ    060113/0000      0.44    34.82   -77.62   144.53    51.04
   KOAK    060113/0000      0.24    37.72  -122.22    44.95    62.65
   KOCF    060113/0000      0.21    29.17   -82.22   135.58    34.36
   KOCH    060113/0000      0.02    31.58   -94.72   105.66    39.54
   KOCW    060113/0000      0.65    35.57   -77.05   145.55    53.27
   KODX    060113/0000      0.10    41.61   -98.95    96.55    67.74
   KOEB    060113/0000      0.01    41.95   -85.00   126.31    69.38
   KOEO    060113/0000      0.28    45.31   -92.69   109.76    78.37
   KOFF    060113/0000      0.54    41.12   -95.90   103.07    66.23
   KOFK    060113/0000      0.32    41.98   -97.43    99.82    68.73
   KOFP    060113/0000      0.33    37.70   -77.43   143.93    59.07
   KOGA    060113/0000      0.20    41.12  -101.76    90.47    66.58
   KOGB    060113/0000      0.01    33.46   -80.85   137.61    46.43
   KOGD    060113/0000      2.90    41.18  -112.02    68.52    68.68
   KOJC    060113/0000      0.08    38.85   -94.90   105.22    59.78
   KOKB    060113/0000      0.02    33.21  -117.34    53.54    48.29
   KOKM    060113/0000      0.00    35.67   -95.95   102.85    50.87
   KOKV    060113/0000      0.31    39.15   -78.15   141.83    62.92
   KOLF    060113/0000      0.25    48.10  -105.58    83.86    87.42
   KOLM    060113/0000      7.57    46.97  -122.90    48.91    89.02
   KOLU    060113/0000      0.33    41.45   -97.35    99.96    67.21
   KOLV    060113/0000      0.01    34.98   -89.79   116.86    49.17
   KOLZ    060113/0000      0.22    42.68   -91.97   111.42    70.76
   KOMA    060113/0000      0.57    41.30   -95.90   103.07    66.74
   KOMH    060113/0000      0.21    38.25   -78.05   142.37    60.43
   KOMK    060113/0000      2.36    48.46  -119.51    56.44    92.08
   KONA    060113/0000      0.27    44.08   -91.70   111.89    74.83
   KONL    060113/0000      0.10    42.47   -98.68    97.19    70.19
   KONO    060113/0000      0.80    44.02  -117.02    59.21    78.29
   KONP    060113/0000     14.62    44.58  -124.05    45.14    82.64
   KONT    060113/0000      0.00    34.05  -117.62    53.29    50.69
   KONZ    060113/0000      0.04    42.10   -83.16   130.18    70.13
   KOPF    060113/0000      0.20    25.90   -80.28   141.17    25.92
   KOPN    060113/0000      0.06    32.95   -84.27   129.86    44.30
   KOQU    060113/0000      8.07    41.60   -71.42   155.21    71.97
   KORB    060113/0000      1.69    48.02   -92.87   109.26    86.39
   KORC    060113/0000      0.67    42.98   -96.07   102.74    71.57
   KORE    060113/0000      8.10    42.57   -72.28   152.93    74.40
   KORF    060113/0000      0.90    36.90   -76.20   146.94    57.21
   KORH    060113/0000      8.38    42.27   -71.87   153.94    73.70
   KORL    060113/0000      0.27    28.55   -81.34   137.84    32.87
   KOSC    060113/0000      0.31    44.45   -83.40   129.09    76.85
   KOSH    060113/0000      0.01    44.00   -88.57   118.43    74.83
   KOSU    060113/0000      0.03    40.08   -83.07   130.88    64.40
   KOTG    060113/0000      0.72    43.65   -95.58   103.79    73.50
   KOTH    060113/0000     16.21    43.42  -124.25    44.01    79.43
   KOTM    060113/0000      0.10    41.10   -92.45   110.48    66.21
   KOVE    060113/0000      1.86    39.49  -121.62    47.23    67.28
   KOVL    060113/0000      0.47    44.78   -95.03   104.94    76.78
   KOVS    060113/0000      0.08    43.15   -90.68   114.10    72.19
   KOWA    060113/0000      0.59    44.12   -93.25   108.65    74.88
   KOWD    060113/0000      8.93    42.19   -71.17   155.44    73.73
   KOXB    060113/0000      1.45    38.31   -75.12   148.76    61.47
   KOXC    060113/0000      6.32    41.48   -73.13   151.66    71.02
   KOXR    060113/0000      0.02    34.20  -119.20    49.79    51.72
   KOXV    060113/0000      0.23    41.30   -93.12   109.04    66.76
   KOZR    060113/0000      0.22    31.27   -85.72   126.82    39.43
   KOZW    060113/0000      0.04    42.63   -83.98   128.32    71.50
   KP28    060113/0000      0.00    37.30   -98.58    97.02    55.53
   KP38    060113/0000      0.06    37.62  -114.52    61.75    59.44
   KP58    060113/0000      0.26    44.02   -82.79   130.47    75.72
   KP59    060113/0000      0.35    47.47   -87.87   119.35    85.09
   KP60    060113/0000      1.66    44.55  -110.42    73.04    77.93
   KP68    060113/0000      0.85    39.50  -115.97    59.38    65.15
   KP69    060113/0000      2.47    45.82  -115.43    63.28    82.98
   KP75    060113/0000      0.10    45.91   -85.91   123.60    80.72
   KPAE    060113/0000      6.27    47.92  -122.28    50.70    91.54
   KPAM    060113/0000      0.23    30.07   -85.58   127.38    36.16
   KPAO    060113/0000      0.18    37.47  -122.12    45.02    61.92
   KPBF    060113/0000      0.07    34.17   -91.93   112.04    46.78
   KPBH    060113/0000      0.08    45.70   -90.40   114.44    79.64
   KPBI    060113/0000      0.27    26.68   -80.12   141.33    28.09
   KPDC    060113/0000      0.12    43.02   -91.12   113.19    71.79
   KPDK    060113/0000      0.01    33.88   -84.30   129.59    46.86
   KPDT    060113/0000      1.21    45.68  -118.85    56.29    83.71
   KPDX    060113/0000      9.11    45.60  -122.60    48.69    84.93
   KPEO    060113/0000      2.67    42.64   -77.04   142.93    73.09
   KPFN    060113/0000      0.24    30.20   -85.68   127.12    36.50
   KPGA    060113/0000      0.02    36.93  -111.45    68.28    56.61
   KPGD    060113/0000      0.20    26.92   -82.00   136.69    28.27
   KPGV    060113/0000      0.47    35.63   -77.40   144.74    53.34
   KPHD    060113/0000      0.14    40.47   -81.42   134.34    65.84
   KPHF    060113/0000      0.71    37.13   -76.50   146.19    57.76
   KPHL    060113/0000      2.12    39.88   -75.25   147.83    65.82
   KPHN    060113/0000      0.10    42.91   -82.53   131.30    72.57
   KPHP    060113/0000      0.02    44.05  -101.60    91.23    74.99
   KPIB    060113/0000      0.01    31.47   -89.33   118.32    39.51
   KPIE    060113/0000      0.20    27.92   -82.68   134.79    30.84
   KPIH    060113/0000      1.56    42.92  -112.60    67.93    73.79
   KPIR    060113/0000      0.00    44.38  -100.28    94.02    75.83
   KPIT    060113/0000      0.31    40.50   -80.22   136.91    66.19
   KPKB    060113/0000      0.06    39.35   -81.43   134.63    62.68
   KPKD    060113/0000      0.63    46.90   -95.07   104.86    83.02
   KPLB    060113/0000      6.78    44.68   -73.52   149.37    80.01
   KPLN    060113/0000      0.22    45.57   -84.80   125.94    79.88
   KPMP    060113/0000      0.23    26.24   -80.11   141.48    26.89
   KPNE    060113/0000      2.52    40.08   -75.02   148.24    66.45
   KPNM    060113/0000      0.29    45.55   -93.60   107.88    79.05
